Date,Close,Stock
1/3/2017,38,BP
1/4/2017,38.29,BP
1/5/2017,38.57,BP
1/6/2017,37.91,BP
1/9/2017,37.31,BP
1/10/2017,37.11,BP
1/11/2017,37.55,BP
1/12/2017,37.76,BP
1/13/2017,37.66,BP
1/17/2017,37.44,BP
1/18/2017,37.1,BP
1/19/2017,36.9,BP
1/20/2017,36.84,BP
1/23/2017,36.62,BP
1/24/2017,36.91,BP
1/25/2017,37.03,BP
1/26/2017,36.74,BP
1/27/2017,36.58,BP
1/30/2017,35.96,BP
1/31/2017,35.98,BP
2/1/2017,35.99,BP
2/2/2017,35.79,BP
2/3/2017,35.92,BP
2/6/2017,35.82,BP
2/7/2017,34.38,BP
2/8/2017,34.43,BP
2/9/2017,34.44,BP
2/10/2017,34.53,BP
2/13/2017,34.66,BP
2/14/2017,34.58,BP
2/15/2017,33.8,BP
2/16/2017,33.68,BP
2/17/2017,33.42,BP
2/21/2017,33.83,BP
2/22/2017,33.41,BP
2/23/2017,33.86,BP
2/24/2017,33.5,BP
2/27/2017,33.98,BP
2/28/2017,33.92,BP
3/1/2017,34.23,BP
3/2/2017,34.12,BP
3/3/2017,34.09,BP
3/6/2017,33.97,BP
3/7/2017,33.87,BP
3/8/2017,33.31,BP
3/9/2017,33.5,BP
3/10/2017,34.33,BP
3/13/2017,34.07,BP
3/14/2017,33.43,BP
3/15/2017,33.78,BP
3/16/2017,34.02,BP
3/17/2017,34.28,BP
3/20/2017,34.19,BP
3/21/2017,34.24,BP
3/22/2017,33.99,BP
3/23/2017,34.06,BP
3/24/2017,33.78,BP
3/27/2017,33.75,BP
3/28/2017,33.92,BP
3/29/2017,34.43,BP
3/30/2017,34.52,BP
3/31/2017,34.52,BP
4/3/2017,34.4,BP
4/4/2017,34.79,BP
4/5/2017,34.59,BP
4/6/2017,34.73,BP
4/7/2017,34.85,BP
4/10/2017,35.09,BP
4/11/2017,35.37,BP
4/12/2017,35.45,BP
4/13/2017,34.99,BP
4/17/2017,35.03,BP
4/18/2017,34.67,BP
4/19/2017,34.14,BP
4/20/2017,34.15,BP
4/21/2017,34,BP
4/24/2017,34.45,BP
4/25/2017,34.66,BP
4/26/2017,34.66,BP
4/27/2017,34.4,BP
4/28/2017,34.32,BP
5/1/2017,34.32,BP
5/2/2017,34.75,BP
5/3/2017,34.69,BP
5/4/2017,34.32,BP
5/5/2017,35.3,BP
5/8/2017,35.43,BP
5/9/2017,35.35,BP
5/10/2017,35.01,BP
5/11/2017,35.21,BP
5/12/2017,35.39,BP
5/15/2017,35.71,BP
5/16/2017,36.24,BP
5/17/2017,36.17,BP
5/18/2017,36.51,BP
5/19/2017,36.94,BP
5/22/2017,36.96,BP
5/23/2017,36.93,BP
5/24/2017,36.9,BP
5/25/2017,36.4,BP
5/26/2017,36.41,BP
5/30/2017,36.27,BP
5/31/2017,36.15,BP
6/1/2017,36.24,BP
6/2/2017,35.91,BP
6/5/2017,36.08,BP
6/6/2017,36.24,BP
6/7/2017,35.42,BP
6/8/2017,35.41,BP
6/9/2017,35.83,BP
6/12/2017,35.81,BP
6/13/2017,36.03,BP
6/14/2017,35.37,BP
6/15/2017,35.24,BP
6/16/2017,36,BP
