Date,Close,Stock
1/3/2017,106.08,DIS
1/4/2017,107.44,DIS
1/5/2017,107.38,DIS
1/6/2017,108.98,DIS
1/9/2017,108.36,DIS
1/10/2017,108.38,DIS
1/11/2017,109.44,DIS
1/12/2017,107.53,DIS
1/13/2017,108.06,DIS
1/17/2017,107.97,DIS
1/18/2017,108.16,DIS
1/19/2017,107.28,DIS
1/20/2017,107.66,DIS
1/23/2017,107.12,DIS
1/24/2017,107.9,DIS
1/25/2017,108.04,DIS
1/26/2017,108.06,DIS
1/27/2017,109.3,DIS
1/30/2017,110.94,DIS
1/31/2017,110.65,DIS
2/1/2017,111.3,DIS
2/2/2017,110.61,DIS
2/3/2017,110.3,DIS
2/6/2017,109.57,DIS
2/7/2017,109,DIS
2/8/2017,109,DIS
2/9/2017,109.49,DIS
2/10/2017,109.26,DIS
2/13/2017,109.65,DIS
2/14/2017,110.33,DIS
2/15/2017,110.18,DIS
2/16/2017,110.71,DIS
2/17/2017,110.06,DIS
2/21/2017,110.01,DIS
2/22/2017,110.12,DIS
2/23/2017,109.73,DIS
2/24/2017,110.32,DIS
2/27/2017,110.23,DIS
2/28/2017,110.09,DIS
3/1/2017,111.04,DIS
3/2/2017,110.59,DIS
3/3/2017,111.24,DIS
3/6/2017,110.67,DIS
3/7/2017,110.86,DIS
3/8/2017,110.84,DIS
3/9/2017,111.03,DIS
3/10/2017,110.92,DIS
3/13/2017,111.52,DIS
3/14/2017,112.31,DIS
3/15/2017,111.87,DIS
3/16/2017,111.71,DIS
3/17/2017,111.76,DIS
3/20/2017,112.71,DIS
3/21/2017,111.75,DIS
3/22/2017,112.08,DIS
3/23/2017,112.24,DIS
3/24/2017,112.14,DIS
3/27/2017,112.38,DIS
3/28/2017,113.05,DIS
3/29/2017,112.53,DIS
3/30/2017,113.18,DIS
3/31/2017,113.39,DIS
4/3/2017,113.2,DIS
4/4/2017,113.04,DIS
4/5/2017,113,DIS
4/6/2017,113.05,DIS
4/7/2017,112.58,DIS
4/10/2017,112.43,DIS
4/11/2017,113.07,DIS
4/12/2017,113.04,DIS
4/13/2017,113.2,DIS
4/17/2017,113.78,DIS
4/18/2017,114.19,DIS
4/19/2017,113.73,DIS
4/20/2017,114.79,DIS
4/21/2017,114.44,DIS
4/24/2017,113.7,DIS
4/25/2017,115.18,DIS
4/26/2017,115.58,DIS
4/27/2017,115.84,DIS
4/28/2017,115.6,DIS
5/1/2017,114.73,DIS
5/2/2017,114.37,DIS
5/3/2017,111.62,DIS
5/4/2017,111.17,DIS
5/5/2017,111.99,DIS
5/8/2017,111.42,DIS
5/9/2017,112.07,DIS
5/10/2017,109.66,DIS
5/11/2017,109.58,DIS
5/12/2017,109.69,DIS
5/15/2017,109.13,DIS
5/16/2017,107.98,DIS
5/17/2017,106.31,DIS
5/18/2017,106.68,DIS
5/19/2017,107.52,DIS
5/22/2017,107.63,DIS
5/23/2017,107.02,DIS
5/24/2017,107.71,DIS
5/25/2017,107.27,DIS
5/26/2017,108.41,DIS
5/30/2017,108.34,DIS
5/31/2017,107.94,DIS
6/1/2017,108.21,DIS
6/2/2017,107.18,DIS
6/5/2017,106.52,DIS
6/6/2017,105.5,DIS
6/7/2017,105.92,DIS
6/8/2017,104.32,DIS
6/9/2017,105.62,DIS
6/12/2017,107.04,DIS
6/13/2017,106.56,DIS
6/14/2017,106.14,DIS
