Date,AMZN,Date,BP,Date,DIS,Date,NYMT
42006.66667,308.52,42006.66667,38.12,42006.66667,93.75,42006.66667,7.85
42009.66667,302.19,42009.66667,36.1,42009.66667,92.38,42009.66667,7.88
42010.66667,295.29,42010.66667,35.83,42010.66667,91.89,42010.66667,7.87
42011.66667,298.42,42011.66667,35.92,42011.66667,92.83,42011.66667,7.86
42012.66667,300.46,42012.66667,36.73,42012.66667,93.79,42012.66667,7.83
42013.66667,296.93,42013.66667,36.58,42013.66667,94.25,42013.66667,7.84
42016.66667,291.41,42016.66667,36.05,42016.66667,94.46,42016.66667,7.82
42017.66667,294.74,42017.66667,35.96,42017.66667,95.19,42017.66667,7.72
42018.66667,293.27,42018.66667,35.67,42018.66667,94.23,42018.66667,7.71
42019.66667,286.95,42019.66667,35.73,42019.66667,94.35,42019.66667,7.66
42020.66667,290.74,42020.66667,37.86,42020.66667,95.18,42020.66667,7.75
42024.66667,289.44,42024.66667,37.69,42024.66667,94.74,42024.66667,7.73
42025.66667,297.25,42025.66667,38.82,42025.66667,94.17,42025.66667,7.78
42026.66667,310.32,42026.66667,38.98,42026.66667,95.15,42026.66667,7.87
42027.66667,312.39,42027.66667,38.9,42027.66667,94.72,42027.66667,7.81
42030.66667,309.66,42030.66667,39.92,42030.66667,94.97,42030.66667,7.88
42031.66667,306.75,42031.66667,40.21,42031.66667,93.97,42031.66667,7.91
42032.66667,303.91,42032.66667,38.88,42032.66667,92.67,42032.66667,7.86
42033.66667,311.78,42033.66667,38.75,42033.66667,93.22,42033.66667,7.85
42034.66667,354.53,42034.66667,38.83,42034.66667,90.96,42034.66667,7.74
42037.66667,364.47,42037.66667,39.86,42037.66667,91.93,42037.66667,7.58
42038.66667,363.55,42038.66667,41.1,42038.66667,94.1,42038.66667,7.61
42039.66667,364.75,42039.66667,40.45,42039.66667,101.28,42039.66667,7.49
42040.66667,373.89,42040.66667,41.38,42040.66667,102.64,42040.66667,7.61
42041.66667,374.28,42041.66667,41.17,42041.66667,102.02,42041.66667,7.52
42044.66667,370.56,42044.66667,41.61,42044.66667,101.73,42044.66667,7.49
42045.66667,373,42045.66667,41.25,42045.66667,101.92,42045.66667,7.48
42046.66667,375.14,42046.66667,40.35,42046.66667,101.87,42046.66667,7.6
42047.66667,377.17,42047.66667,41.34,42047.66667,103.58,42047.66667,7.7
42048.66667,381.83,42048.66667,41.93,42048.66667,104.17,42048.66667,7.75
42052.66667,375.43,42052.66667,41.78,42052.66667,104.12,42052.66667,7.78
42053.66667,373.37,42053.66667,41.75,42053.66667,103.86,42053.66667,7.79
42054.66667,379,42054.66667,41.19,42054.66667,103.89,42054.66667,7.79
42055.66667,383.66,42055.66667,41.28,42055.66667,104.55,42055.66667,7.79
42058.66667,380.14,42058.66667,41.22,42058.66667,104.99,42058.66667,7.84
42059.66667,378.59,42059.66667,41.59,42059.66667,104.67,42059.66667,7.69
42060.66667,385.37,42060.66667,41.91,42060.66667,105.57,42060.66667,7.86
42061.66667,384.8,42061.66667,41.36,42061.66667,104.56,42061.66667,7.87
42062.66667,380.16,42062.66667,41.44,42062.66667,104.08,42062.66667,7.9
42065.66667,385.66,42065.66667,41.3,42065.66667,105.89,42065.66667,7.86
42066.66667,384.61,42066.66667,41.74,42066.66667,106.35,42066.66667,7.85
42067.66667,382.72,42067.66667,41.53,42067.66667,105.57,42067.66667,7.92
42068.66667,387.83,42068.66667,41.18,42068.66667,105.03,42068.66667,7.92
42069.66667,380.09,42069.66667,40.35,42069.66667,103.82,42069.66667,7.8
42072.66667,378.56,42072.66667,40.28,42072.66667,105.26,42072.66667,7.84
42073.66667,369.51,42073.66667,39.04,42073.66667,103.09,42073.66667,7.83
42074.66667,366.37,42074.66667,38.23,42074.66667,102.89,42074.66667,7.8
42075.66667,374.24,42075.66667,38.16,42075.66667,107.17,42075.66667,7.9
42076.66667,370.58,42076.66667,37.6,42076.66667,106.44,42076.66667,7.88
42079.66667,373.35,42079.66667,37.55,42079.66667,107.37,42079.66667,7.9
42080.66667,371.92,42080.66667,37.82,42080.66667,106.96,42080.66667,7.89
42081.66667,375.14,42081.66667,39.35,42081.66667,107.97,42081.66667,8.01
42082.66667,373.24,42082.66667,38.97,42082.66667,107.37,42082.66667,8.01
42083.66667,378.49,42083.66667,40.1,42083.66667,108.43,42083.66667,8.11
42086.66667,375.11,42086.66667,40.14,42086.66667,108.22,42086.66667,8.06
42087.66667,374.09,42087.66667,39.51,42087.66667,107.11,42087.66667,8.03
42088.66667,370.96,42088.66667,40.01,42088.66667,105,42088.66667,7.98
42089.66667,367.35,42089.66667,39.81,42089.66667,105.24,42089.66667,7.75
42090.66667,370.56,42090.66667,39.61,42090.66667,105.48,42090.66667,7.79
42093.66667,374.59,42093.66667,39.84,42093.66667,106.12,42093.66667,7.81
42094.66667,372.1,42094.66667,39.11,42094.66667,104.89,42094.66667,7.76
42095.66667,370.26,42095.66667,39.5,42095.66667,105.44,42095.66667,7.74
42096.66667,372.25,42096.66667,39.65,42096.66667,106,42096.66667,7.77
42100.66667,377.04,42100.66667,40.13,42100.66667,105.63,42100.66667,7.83
42101.66667,374.41,42101.66667,40.25,42101.66667,105.43,42101.66667,7.8
42102.66667,381.2,42102.66667,40.77,42102.66667,106.36,42102.66667,7.8
42103.66667,383.54,42103.66667,41.35,42103.66667,106.77,42103.66667,7.75
42104.66667,382.65,42104.66667,41.54,42104.66667,106.95,42104.66667,7.79
42107.66667,382.36,42107.66667,41.23,42107.66667,106.51,42107.66667,7.79
42108.66667,385.11,42108.66667,41.8,42108.66667,106.66,42108.66667,7.82
42109.66667,383.45,42109.66667,42.42,42109.66667,106.98,42109.66667,7.86
42110.66667,386.04,42110.66667,42.55,42110.66667,108.1,42110.66667,7.88
42111.66667,375.56,42111.66667,42.89,42111.66667,106.69,42111.66667,7.86
42114.66667,389.51,42114.66667,42.82,42114.66667,108.22,42114.66667,7.88
42115.66667,391.18,42115.66667,42.78,42115.66667,107.68,42115.66667,7.82
42116.66667,389.8,42116.66667,43.24,42116.66667,107.94,42116.66667,7.87
