Date,Close,Stock
1/3/2017,51.98,NKE
1/4/2017,53.07,NKE
1/5/2017,53.06,NKE
1/6/2017,53.91,NKE
1/9/2017,53.38,NKE
1/10/2017,53.11,NKE
1/11/2017,52.69,NKE
1/12/2017,52.4,NKE
1/13/2017,52.92,NKE
1/17/2017,53.65,NKE
1/18/2017,53.27,NKE
1/19/2017,52.93,NKE
1/20/2017,53.2,NKE
1/23/2017,53.24,NKE
1/24/2017,53.45,NKE
1/25/2017,53.86,NKE
1/26/2017,53.65,NKE
1/27/2017,53.19,NKE
1/30/2017,53.08,NKE
1/31/2017,52.9,NKE
2/1/2017,53.02,NKE
2/2/2017,52.8,NKE
2/3/2017,52.36,NKE
2/6/2017,52.8,NKE
2/7/2017,52.81,NKE
2/8/2017,53.88,NKE
2/9/2017,55.31,NKE
2/10/2017,56.22,NKE
2/13/2017,56.09,NKE
2/14/2017,56.45,NKE
2/15/2017,56.64,NKE
2/16/2017,56.29,NKE
2/17/2017,56.75,NKE
2/21/2017,57.36,NKE
2/22/2017,58.24,NKE
2/23/2017,57.39,NKE
2/24/2017,57.86,NKE
2/27/2017,57.69,NKE
2/28/2017,57.16,NKE
3/1/2017,57.95,NKE
3/2/2017,57.8,NKE
3/3/2017,56.7,NKE
3/6/2017,56.77,NKE
3/7/2017,56.55,NKE
3/8/2017,56.51,NKE
3/9/2017,56.36,NKE
3/10/2017,56.43,NKE
3/13/2017,56.67,NKE
3/14/2017,57.28,NKE
3/15/2017,57.66,NKE
3/16/2017,57.6,NKE
3/17/2017,57.8,NKE
3/20/2017,58.68,NKE
3/21/2017,58.01,NKE
3/22/2017,53.92,NKE
3/23/2017,55.37,NKE
3/24/2017,56.36,NKE
3/27/2017,55.93,NKE
3/28/2017,56.62,NKE
3/29/2017,56.68,NKE
3/30/2017,56.04,NKE
3/31/2017,55.73,NKE
4/3/2017,55.56,NKE
4/4/2017,55.04,NKE
4/5/2017,54.98,NKE
4/6/2017,55.14,NKE
4/7/2017,55.11,NKE
4/10/2017,54.9,NKE
4/11/2017,54.92,NKE
4/12/2017,55.57,NKE
4/13/2017,55.34,NKE
4/17/2017,56.24,NKE
4/18/2017,56.11,NKE
4/19/2017,55.86,NKE
4/20/2017,56.4,NKE
4/21/2017,55.85,NKE
4/24/2017,55.47,NKE
4/25/2017,55.45,NKE
4/26/2017,55.16,NKE
4/27/2017,55.47,NKE
4/28/2017,55.41,NKE
5/1/2017,54.99,NKE
5/2/2017,55.07,NKE
5/3/2017,54.53,NKE
5/4/2017,54.47,NKE
5/5/2017,53.95,NKE
5/8/2017,54.3,NKE
5/9/2017,54.89,NKE
5/10/2017,54.56,NKE
5/11/2017,54.24,NKE
5/12/2017,54.2,NKE
5/15/2017,53.77,NKE
5/16/2017,52.78,NKE
5/17/2017,51.8,NKE
5/18/2017,51.68,NKE
5/19/2017,51.77,NKE
5/22/2017,51.57,NKE
5/23/2017,52.2,NKE
5/24/2017,52.01,NKE
5/25/2017,52.35,NKE
5/26/2017,52.59,NKE
5/30/2017,52.92,NKE
5/31/2017,52.99,NKE
6/1/2017,52.3,NKE
6/2/2017,52.98,NKE
6/5/2017,53.01,NKE
6/6/2017,52.48,NKE
6/7/2017,53.23,NKE
6/8/2017,53.2,NKE
6/9/2017,53.46,NKE
6/12/2017,54.03,NKE
6/13/2017,54.31,NKE
6/14/2017,54.66,NKE
6/15/2017,52.9,NKE
6/16/2017,51.1,NKE
6/19/2017,52.02,NKE
6/20/2017,51.56,NKE
6/21/2017,52.59,NKE
6/22/2017,52.4,NKE
6/23/2017,52.85,NKE
6/26/2017,53.28,NKE
6/27/2017,52.95,NKE
6/28/2017,53.36,NKE
6/29/2017,53.17,NKE
6/30/2017,59,NKE
7/3/2017,58.65,NKE
7/5/2017,57.56,NKE
7/6/2017,57.16,NKE
7/7/2017,57.98,NKE
7/10/2017,58.73,NKE
7/11/2017,58.18,NKE
7/12/2017,58.22,NKE
7/13/2017,57.94,NKE
7/14/2017,58,NKE
7/17/2017,57.79,NKE
7/18/2017,57.65,NKE
7/19/2017,57.77,NKE
7/20/2017,59.1,NKE
7/21/2017,59.95,NKE
7/24/2017,58.95,NKE
7/25/2017,59.39,NKE
7/26/2017,58.36,NKE
7/27/2017,58.15,NKE
7/28/2017,58.67,NKE
7/31/2017,59.05,NKE
8/1/2017,59.84,NKE
8/2/2017,59.79,NKE
8/3/2017,60.14,NKE
8/4/2017,59.76,NKE
8/7/2017,59.79,NKE
8/8/2017,59.46,NKE
8/9/2017,59.9,NKE
8/10/2017,59.07,NKE
8/11/2017,58.97,NKE
8/14/2017,59.78,NKE
8/15/2017,58.56,NKE
8/16/2017,58.54,NKE
8/17/2017,57.46,NKE
8/18/2017,54.95,NKE
8/21/2017,53.61,NKE
8/22/2017,54.13,NKE
8/23/2017,53.61,NKE
8/24/2017,53.84,NKE
8/25/2017,53.9,NKE
8/28/2017,53.73,NKE
8/29/2017,52.73,NKE
8/30/2017,52.56,NKE
8/31/2017,52.81,NKE
9/1/2017,53.36,NKE
9/5/2017,53.01,NKE
9/6/2017,52.76,NKE
9/7/2017,52.39,NKE
9/8/2017,52.2,NKE
9/11/2017,53.03,NKE
9/12/2017,53.4,NKE
9/13/2017,53.52,NKE
9/14/2017,53.73,NKE
9/15/2017,53.87,NKE
9/18/2017,53.5,NKE
9/19/2017,53.33,NKE
9/20/2017,53.56,NKE
9/21/2017,53.19,NKE
9/22/2017,53.24,NKE
9/25/2017,53.23,NKE
9/26/2017,53.7,NKE
9/27/2017,52.67,NKE
9/28/2017,52.63,NKE
9/29/2017,51.85,NKE
10/2/2017,51.87,NKE
10/3/2017,51.47,NKE
10/4/2017,52.08,NKE
10/5/2017,52.18,NKE
10/6/2017,52.42,NKE
10/9/2017,51.52,NKE
10/10/2017,51.53,NKE
10/11/2017,51.03,NKE
10/12/2017,50.83,NKE
10/13/2017,50.98,NKE
10/16/2017,51.37,NKE
10/17/2017,52,NKE
10/18/2017,52.3,NKE
10/19/2017,52.69,NKE
10/20/2017,53.06,NKE
10/23/2017,53.66,NKE
10/24/2017,53.42,NKE
10/25/2017,54.94,NKE
10/26/2017,56.81,NKE
10/27/2017,55.96,NKE
10/30/2017,55.27,NKE
10/31/2017,54.99,NKE
11/1/2017,55.07,NKE
11/2/2017,55.12,NKE
